X,Y,D,e8:ba:70:61:07:00,e8:ba:70:c2:41:92,e8:ba:70:61:25:54,e8:ba:70:c2:4e:32,e8:ba:70:61:25:50,e8:ba:70:61:25:53,e8:ba:70:9c:c7:33,e8:ba:70:9c:c7:35,e8:ba:70:c2:44:15,58:35:d9:aa:d5:e3,e8:ba:70:c2:44:12,e8:ba:70:61:07:03,58:35:d9:aa:d5:e5,e8:ba:70:61:07:02,58:35:d9:aa:99:e0,e8:ba:70:c2:44:35,e8:ba:70:c2:44:14,e8:ba:70:c2:4e:33,30:f7:72:5c:ed:28,e8:ba:70:c2:44:13,e8:ba:70:61:07:01,dc:a5:f4:b8:73:82,58:35:d9:aa:d5:e0,e8:ba:70:c2:44:31,58:35:d9:aa:d5:e2,14:dd:a9:70:e7:40,e8:ba:70:c2:41:95,e8:ba:70:c2:41:91,e8:ba:70:c2:4e:34,e8:ba:70:92:aa:b3,e8:ba:70:c2:41:93,58:35:d9:aa:d5:e4,58:35:d9:aa:99:e1,e8:ba:70:9c:c7:31,e8:ba:70:c2:44:33,e8:ba:70:c2:44:10,dc:a5:f4:b8:73:85,00:19:5b:1f:fd:30,e8:ba:70:61:07:04,e8:ba:70:9c:c7:32,58:35:d9:aa:99:e3,e8:ba:70:61:25:55,e8:ba:70:61:07:05,e8:ba:70:c2:41:90,e8:ba:70:c2:4e:30,e8:ba:70:c2:4e:35,00:26:5a:41:4e:88,58:35:d9:aa:d5:e1,e8:ba:70:c2:41:94,e8:ba:70:61:25:52,dc:a5:f4:b8:73:81,e8:ba:70:c2:4e:31,e8:ba:70:61:25:51,58:35:d9:aa:99:e2,00:26:5a:41:4e:8a,e8:ba:70:c2:44:11,14:dd:a9:70:cc:60,dc:a5:f4:b8:73:80,e8:ba:70:9c:c7:30,e8:ba:70:c2:44:34,e8:ba:70:9c:c7:34,48:ee:0c:ee:27:e4,e8:ba:70:c2:44:32,dc:a5:f4:b8:73:83,dc:a5:f4:b8:73:84,58:35:d9:aa:99:e4
11,1,1,0,0,0,0,0,0,0,0,0,-80,0,0,-81,0,0,0,0,0,-77,0,0,-57,-77,0,0,-61,0,0,0,0,0,0,0,0,0,0,-57,0,0,0,0,0,0,0,0,0,-77,0,0,0,-57,0,0,0,0,0,0,-57,0,0,0,0,0,-53,-57,0
11,1,2,0,0,0,0,0,0,0,0,0,-80,0,0,-81,0,0,0,0,0,-77,0,0,-60,-77,0,0,-56,0,0,0,0,0,0,0,0,0,0,-60,0,0,0,0,0,0,0,0,0,-77,0,0,0,-60,0,0,0,0,0,-77,-60,0,0,0,0,0,-57,-62,0
11,1,3,0,0,0,0,0,0,0,0,0,-75,0,0,-74,0,0,0,0,0,-77,0,0,-54,-74,0,0,-53,0,0,0,0,0,-75,0,0,0,0,-54,0,0,0,0,0,0,0,0,0,-77,-74,0,0,-54,0,0,0,0,0,-79,-54,0,0,0,0,0,-61,-54,0
12,1,0,0,0,0,0,0,0,0,0,0,-75,0,0,-74,0,0,0,0,0,-76,0,0,-54,-74,0,-78,-65,-70,0,0,0,0,-78,0,0,0,0,-55,0,0,0,0,0,0,-70,0,0,-80,-79,0,0,-55,0,0,0,0,0,-79,-55,0,0,0,-78,0,-57,-55,0
12,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-76,0,0,-61,-74,0,-78,-53,-70,-68,0,0,-67,-78,0,0,0,0,-55,0,0,0,0,0,0,-70,0,0,-79,-79,0,0,-60,0,0,0,0,0,0,-60,0,0,0,-78,0,-57,-59,0
12,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-76,0,0,-61,-74,0,-78,-52,-70,-68,0,0,-67,-78,0,0,0,0,-55,0,0,0,0,0,0,-70,0,0,-83,-82,0,0,-62,0,0,0,0,0,-78,-62,0,0,0,-78,0,-58,-61,0
12,1,3,0,0,0,0,0,0,0,0,0,0,0,0,-78,0,0,0,0,0,-76,0,0,-57,-74,0,-78,-61,-70,-68,0,0,-67,-78,0,0,0,0,-55,0,0,0,0,0,0,-70,0,0,-83,-82,0,0,-58,0,0,0,0,0,-78,-58,0,0,0,-78,0,-68,-58,0
12,3,0,0,-69,0,0,0,0,0,0,0,0,0,0,-78,0,0,0,0,0,-76,0,0,-57,0,0,0,-59,-70,-69,0,0,-67,0,0,0,0,0,-52,0,0,0,0,0,0,-69,0,0,-78,-82,-69,0,-58,0,0,0,0,0,-81,-52,0,0,0,0,0,-68,-58,0
12,3,1,0,-69,0,-68,0,0,0,0,0,0,0,0,0,0,0,0,0,-68,0,0,0,-68,0,0,0,-51,-70,-69,-68,0,0,0,0,0,0,0,-52,0,0,0,0,0,0,-69,-68,-69,-72,0,-69,0,0,-68,0,0,0,0,-82,-64,0,0,0,0,0,-68,0,0
12,3,2,0,-69,0,-68,0,0,0,0,0,0,0,0,0,0,0,0,0,-68,0,0,0,-64,0,0,0,-58,-70,-72,-68,0,0,0,0,0,0,0,-60,0,0,0,0,0,0,-70,-68,-69,-75,0,-69,0,-63,-69,0,0,0,0,-82,-63,0,0,0,0,0,-65,-63,0
