X,Y,D,e8:ba:70:61:07:00,e8:ba:70:c2:41:92,e8:ba:70:61:25:54,e8:ba:70:c2:4e:32,e8:ba:70:61:25:50,e8:ba:70:61:25:53,e8:ba:70:9c:c7:33,e8:ba:70:9c:c7:35,e8:ba:70:c2:44:15,58:35:d9:aa:d5:e3,e8:ba:70:c2:44:12,e8:ba:70:61:07:03,58:35:d9:aa:d5:e5,e8:ba:70:61:07:02,58:35:d9:aa:99:e0,e8:ba:70:c2:44:35,e8:ba:70:c2:44:14,e8:ba:70:c2:4e:33,30:f7:72:5c:ed:28,e8:ba:70:c2:44:13,e8:ba:70:61:07:01,dc:a5:f4:b8:73:82,58:35:d9:aa:d5:e0,e8:ba:70:c2:44:31,58:35:d9:aa:d5:e2,14:dd:a9:70:e7:40,e8:ba:70:c2:41:95,e8:ba:70:c2:41:91,e8:ba:70:c2:4e:34,e8:ba:70:92:aa:b3,e8:ba:70:c2:41:93,58:35:d9:aa:d5:e4,58:35:d9:aa:99:e1,e8:ba:70:9c:c7:31,e8:ba:70:c2:44:33,e8:ba:70:c2:44:10,dc:a5:f4:b8:73:85,00:19:5b:1f:fd:30,e8:ba:70:61:07:04,e8:ba:70:9c:c7:32,58:35:d9:aa:99:e3,e8:ba:70:61:25:55,e8:ba:70:61:07:05,e8:ba:70:c2:41:90,e8:ba:70:c2:4e:30,e8:ba:70:c2:4e:35,00:26:5a:41:4e:88,58:35:d9:aa:d5:e1,e8:ba:70:c2:41:94,e8:ba:70:61:25:52,dc:a5:f4:b8:73:81,e8:ba:70:c2:4e:31,e8:ba:70:61:25:51,58:35:d9:aa:99:e2,00:26:5a:41:4e:8a,e8:ba:70:c2:44:11,14:dd:a9:70:cc:60,dc:a5:f4:b8:73:80,e8:ba:70:9c:c7:30,e8:ba:70:c2:44:34,e8:ba:70:9c:c7:34,48:ee:0c:ee:27:e4,e8:ba:70:c2:44:32,dc:a5:f4:b8:73:83,dc:a5:f4:b8:73:84,58:35:d9:aa:99:e4,
2,2,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-63.0,0.0,0.0,-62.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-55.25,-63.0,0.0,-20.75,-22.25,0.0,0.0,0.0,0.0,0.0,-20.25,0.0,0.0,0.0,0.0,-55.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-66.75,-42.0,0.0,0.0,-73.5,0.0,0.0,0.0,0.0,0.0,0.0,-55.5,0.0,0.0,0.0,0.0,0.0,-75.5,-73.25,0.0
2,3,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-66.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-57.75,-87.25,0.0,-83.0,0.0,0.0,0.0,0.0,0.0,0.0,-82.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-67.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-74.0,-58.5,0.0
2,4,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-22.25,0.0,0.0,-20.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-39.25,-42.5,0.0,-79.0,0.0,0.0,0.0,0.0,0.0,0.0,-20.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-22.5,0.0,0.0,0.0,-20.0,0.0,0.0,0.0,0.0,0.0,0.0,-76.5,0.0,0.0,0.0,0.0,0.0,-74.0,-78.75,0.0
2,5,3,0,0.0,0.0,0.0,0.0,-50.25,-49.5,0.0,0.0,0.0,0.0,0.0,0.0,-20.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-20.0,-20.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-20.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-50.25,-20.0,0.0,0.0,0.0,0.0,0.0,0.0,-59.75,0.0,0.0,0.0,0.0,0.0,-74.0,-79.0,0.0
2,6,3,0,0.0,0.0,-48.0,0.0,-64.75,-64.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-48.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-64.75,-42.0,0.0,-48.25,0.0,0.0,0.0,0.0,-20.25,0.0,0.0,0.0,0.0,0.0,-58.5,-19.75,0.0
2,7,3,0,0.0,0.0,-64.5,0.0,-65.5,-65.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-59.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-75.5,0.0,0.0,0.0,0.0,-65.5,0.0,0.0,0.0,0.0,-64.25,0.0,0.0,-65.0,-21.0,0.0,-65.0,0.0,0.0,0.0,0.0,-75.5,0.0,0.0,0.0,0.0,0.0,-20.0,-76.0,0.0
2,8,3,0,0.0,0.0,-51.0,0.0,-50.25,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-80.0,0.0,0.0,0.0,-80.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-19.0,0.0,0.0,0.0,0.0,-51.0,0.0,0.0,0.0,0.0,-62.25,-22.75,0.0,-51.0,-79.0,0.0,-51.0,0.0,0.0,0.0,-60.75,-58.5,0.0,0.0,0.0,0.0,0.0,0.0,-19.25,0.0
2,9,3,0,0.0,-17.0,-57.0,0.0,-57.0,-56.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-20.5,0.0,0.0,0.0,-18.75,-17.25,-17.0,0.0,0.0,-17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-57.0,0.0,-17.0,0.0,0.0,-20.75,-22.75,-17.0,-57.5,-20.25,0.0,-57.5,0.0,0.0,0.0,-63.25,-61.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,10,3,0,0.0,-17.0,-63.0,0.0,-64.0,-66.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-17.25,-17.0,0.0,0.0,-17.0,0.0,0.0,0.0,0.0,0.0,-82.0,0.0,0.0,0.0,0.0,-64.5,0.0,-17.0,0.0,0.0,-20.75,0.0,-17.0,-64.0,-19.25,0.0,-65.75,0.0,0.0,0.0,-70.25,-79.5,0.0,0.0,0.0,0.0,0.0,-79.0,-19.25,0.0
3,10,3,0,0.0,0.0,-63.75,0.0,-62.75,-65.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-44.5,0.0,0.0,0.0,0.0,0.0,0.0,-44.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-62.5,0.0,0.0,0.0,0.0,-67.5,0.0,0.0,-63.75,0.0,0.0,-63.0,0.0,0.0,0.0,-68.5,0.0,0.0,0.0,0.0,0.0,0.0,-65.25,0.0,0.0
