X,Y,D,e8:ba:70:c2:4e:32,e8:ba:70:9c:c7:33,e8:ba:70:61:07:03,e8:ba:70:c2:4e:33,30:f7:72:5c:ed:28,dc:a5:f4:b8:73:82,14:dd:a9:70:e7:40,e8:ba:70:c2:4e:34,dc:a5:f4:b8:73:85,58:35:d9:aa:99:e3,e8:ba:70:c2:4e:30,e8:ba:70:c2:4e:35,dc:a5:f4:b8:73:81,e8:ba:70:c2:4e:31,14:dd:a9:70:cc:60,dc:a5:f4:b8:73:80,48:ee:0c:ee:27:e4,dc:a5:f4:b8:73:83,dc:a5:f4:b8:73:84
2,2,3,0,0,0,0,0,-75,0,0,-74,0,0,0,-73,0,0,-74,0,-74,-73
2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-74,0
2,3,1,0,0,0,0,0,-77,0,0,0,0,0,0,0,0,0,0,0,-74,-78
2,3,2,0,0,0,0,0,-77,0,0,0,0,0,0,0,0,0,0,0,-74,-78
2,3,3,0,0,0,0,0,-77,0,0,0,0,0,0,0,0,0,0,0,-74,-78
2,4,0,0,0,0,0,0,-77,0,0,0,0,0,0,0,0,0,-75,0,-74,-78
2,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-77,0,-74,-79
2,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-77,0,-74,-79
2,4,3,0,0,0,0,0,-80,0,0,0,0,0,0,-80,0,0,-77,0,-74,-79
2,5,0,0,0,0,0,0,-80,0,0,0,0,0,0,-80,0,0,-77,0,-74,-79
2,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-74,-79
2,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-81,0,-74,-79
2,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-81,0,-74,-79
2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-81,0,-74,-79
2,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,6,2,0,0,0,0,0,0,0,0,0,0,0,0,-84,0,0,0,0,-80,0
2,6,3,0,0,0,0,0,0,0,0,0,0,0,0,-84,0,0,0,0,-80,0
2,7,0,0,0,0,0,0,0,0,0,-74,0,0,0,-84,0,0,-74,0,-80,-73
2,7,1,0,0,0,0,0,-77,0,0,-76,0,0,0,0,0,0,-76,0,0,-77
2,7,2,0,0,0,0,0,-81,0,0,-76,0,0,0,0,0,0,-76,0,0,-77
2,7,3,0,0,0,0,0,-81,0,0,-76,0,0,0,0,0,0,-76,0,0,-77
2,8,0,0,0,0,0,0,-80,-82,0,-76,0,0,0,-81,0,0,-76,0,0,-77
2,8,1,0,0,0,0,0,-76,-82,0,0,0,0,0,-77,0,-81,0,0,0,0
2,8,2,0,0,0,0,0,-82,-82,0,0,0,0,0,-77,0,-81,-79,0,0,0
2,8,3,0,0,0,0,0,-82,-75,0,0,0,0,0,-81,0,-81,-79,0,0,0
2,9,0,0,0,0,0,0,-82,-75,0,0,0,0,0,-81,0,-81,-79,0,0,0
2,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,9,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-86,-84,0,0,0
2,9,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-86,-84,0,0,0
2,10,0,0,0,0,0,0,0,0,0,-80,0,0,0,0,0,-72,-80,0,-76,0
2,10,1,0,0,0,0,0,0,0,0,-80,0,0,0,0,0,-76,-80,0,-76,0
2,10,2,0,0,0,0,0,0,0,0,-84,0,0,0,0,0,-71,-79,0,-82,0
2,10,3,0,0,0,0,0,0,0,0,-84,0,0,0,-77,0,-62,-79,0,-82,-77
3,10,0,0,0,0,0,-89,0,-89,0,0,0,0,0,0,0,-73,0,0,0,0
3,10,1,0,0,0,0,-89,0,-89,0,0,0,0,0,0,0,-74,0,0,-87,0
3,10,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-64,0,0,-87,0
3,10,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-63,0,0,-87,0
4,10,0,0,0,0,0,-82,0,-80,0,0,0,0,0,0,0,-69,0,0,-87,0
4,10,1,0,0,0,0,-82,0,-80,0,0,0,0,0,0,0,-66,0,0,0,0
4,10,2,0,0,0,0,-82,0,-83,0,0,0,0,0,0,0,-62,0,0,0,0
4,10,3,0,-71,0,0,-79,0,-82,0,0,0,0,0,0,0,-57,0,0,0,0
5,10,0,0,-71,0,0,-79,0,-80,0,0,0,0,0,0,0,-71,0,0,0,0
5,10,1,0,0,0,0,0,-88,-79,0,0,0,0,0,0,0,-65,0,0,0,0
5,10,2,0,0,0,0,0,-88,-79,0,0,0,0,0,0,0,-59,0,0,0,0
5,10,3,0,0,0,0,0,-88,-78,0,0,0,0,0,0,0,-62,0,0,0,0
6,10,0,0,0,0,0,-79,-88,-79,0,0,0,0,0,0,0,-65,0,0,0,0
6,10,1,0,0,0,0,-79,0,-79,0,0,0,0,0,0,0,-65,0,0,0,0
6,10,2,0,0,0,0,-79,0,-68,0,0,0,0,0,0,0,-76,0,0,0,0
6,10,3,0,0,0,0,-79,0,-69,0,0,0,0,0,0,0,-71,0,0,0,0
7,10,0,0,0,0,0,-70,0,-64,0,-77,0,0,0,0,0,-68,0,0,0,0
7,10,1,0,0,0,0,-70,0,-68,0,-77,0,0,0,0,0,-68,0,0,0,0
7,10,2,0,0,0,0,-70,0,-68,0,-77,0,0,0,0,0,-76,0,0,0,-82
7,10,3,0,0,0,0,-70,0,-66,0,-77,0,0,0,0,0,-72,0,0,0,-82
8,10,0,0,0,0,0,-71,0,-64,0,0,0,0,0,0,0,-79,-83,0,0,-82
8,10,1,0,0,0,0,-71,0,-64,0,0,0,0,0,0,0,-79,-83,0,0,-82
8,10,2,0,0,0,0,-71,0,-64,0,0,0,0,0,0,0,-79,-83,0,0,-82
8,10,3,0,0,0,0,-71,0,-64,0,0,0,0,0,0,0,-79,-83,0,0,-82
9,10,0,0,0,0,0,-71,0,-69,0,0,0,0,0,-78,0,-79,-83,0,0,0
9,10,1,0,0,0,0,-72,0,-69,0,-76,0,0,0,-78,0,-79,-74,0,0,0
