X,Y,D,e8:ba:70:92:aa:b5,e8:ba:70:92:c4:e1,dc:a5:f4:b8:73:83,e8:ba:70:c2:44:11,e8:ba:70:c2:44:34,e8:ba:70:61:25:52,58:35:d9:aa:c2:44,58:35:d9:aa:d5:e3,e8:ba:70:61:07:01,e8:ba:70:c2:4e:31,dc:a5:f4:b8:73:84,dc:a5:f4:b8:73:80,58:35:d9:aa:19:64,58:35:d9:aa:d5:e0,e8:ba:70:c2:44:33,e8:ba:70:61:07:00,58:35:d9:aa:c2:42,e8:ba:70:9c:c7:33,e8:ba:70:c2:41:90,e8:ba:70:c2:41:95,e8:ba:70:92:aa:b4,e8:ba:70:61:25:55,e8:ba:70:92:b3:24,e8:ba:70:c2:44:32,e8:ba:70:61:25:50,e8:ba:70:c2:44:14,e8:ba:70:c2:44:35,e8:ba:70:92:b3:20,e8:ba:70:92:c4:e0,c4:a8:1d:8d:6f:08,e8:ba:70:c2:41:92,e8:ba:70:c2:44:13,58:35:d9:aa:d5:e5,e8:ba:70:92:aa:b1,e8:ba:70:61:07:02,e8:ba:70:61:25:54,e8:ba:70:61:25:53,e8:ba:70:92:c4:e4,e8:ba:70:c2:44:12,58:35:d9:aa:c2:40,58:35:d9:aa:99:e0,e8:ba:70:92:b3:22,e8:ba:70:92:c4:e3,e8:ba:70:92:b3:23,e8:ba:70:c2:4e:30,58:35:d9:aa:d5:e2,e8:ba:70:c2:4e:33,dc:a5:f4:b8:73:81,58:35:d9:aa:c4:e0,e8:ba:70:c2:41:91,e8:ba:70:61:07:03,e8:ba:70:c2:41:94,e8:ba:70:92:aa:b3,58:35:d9:aa:99:e3,e8:ba:70:9c:c7:32,e8:ba:70:c2:44:31,14:dd:a9:70:cc:60,e8:ba:70:9c:c7:35,e8:ba:70:c2:4e:32,e8:ba:70:92:b3:25,30:f7:72:5c:ed:28,58:35:d9:aa:99:e1,dc:a5:f4:b8:73:82,e8:ba:70:92:aa:b0,58:35:d9:aa:99:e2,e8:ba:70:61:25:51,e8:ba:70:61:07:04,00:26:52:db:01:b0,58:35:d9:aa:99:e5,00:26:5a:41:4e:88,e8:ba:70:c2:44:30,e8:ba:70:c2:44:10,58:35:d9:aa:19:e0,58:35:d9:aa:99:e4,e8:ba:70:c2:4e:34,48:ee:0c:ee:27:e4,e8:ba:70:92:c4:e5,e8:ba:70:9c:c7:31,e8:ba:70:9c:c7:34,e8:ba:70:9c:c7:30,14:dd:a9:70:e7:40,e8:ba:70:92:aa:b2,e8:ba:70:c2:44:15,58:35:d9:aa:d5:e1,e8:ba:70:c2:41:93,e8:ba:70:92:b3:21,dc:a5:f4:b8:73:85,e8:ba:70:c2:4e:35,00:26:5a:41:4e:8a,e8:ba:70:61:07:05,58:35:d9:aa:d5:e4,00:19:5b:1f:fd:30,e8:ba:70:92:c4:e2
9,1,0,-72,0,-51,0,-69,0,0,-70,-65,-68,-51,-49,0,0,0,-66,0,0,0,-62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-65,0,-70,0,0,0,0,0,0,0,-68,-71,-69,-51,0,0,-65,0,0,0,-72,0,0,0,-68,0,0,0,-51,0,0,0,-66,0,0,-74,-71,0,0,0,-68,0,0,0,-73,0,-54,0,0,-72,-63,0,-49,-69,0,-66,-71,0,0
9,1,1,-72,0,-53,0,0,0,0,0,-65,-63,-52,-52,0,0,0,-65,0,0,0,-62,0,0,0,0,0,0,0,0,0,0,-73,0,0,0,-65,0,0,0,0,0,0,0,0,0,-63,0,-63,-52,0,-72,-65,-73,0,0,0,0,0,0,-63,0,0,0,-52,0,0,0,-66,0,0,0,0,0,0,0,-63,0,0,0,0,0,-53,0,0,0,0,0,-52,-63,0,-66,-71,0,0
9,1,2,-72,0,-53,0,0,0,0,0,-67,-61,-60,-61,0,0,0,-66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-66,0,0,0,0,0,0,0,0,0,-63,0,-62,-61,0,0,-66,0,0,0,0,0,0,0,-62,0,0,0,-61,0,0,0,-66,0,0,0,0,0,0,0,-63,0,0,0,0,0,-55,0,0,0,0,0,-52,-62,0,-67,-71,0,0
9,1,3,-72,0,-53,0,-73,0,0,-72,-60,-63,-53,-53,0,-73,-73,-59,0,0,-72,-72,0,0,0,-74,0,0,-73,0,0,0,0,0,0,0,-60,0,0,0,0,0,0,0,0,0,-65,0,-65,-53,0,0,-60,-72,0,0,0,0,0,0,-62,0,0,0,-54,0,0,0,-60,0,0,-69,-73,0,0,0,-64,0,0,0,0,0,-51,0,0,-72,0,0,-53,-64,0,-60,0,0,0
9,3,0,-72,0,-56,0,-63,0,0,0,-52,-69,-56,-53,0,0,0,-51,0,-64,-59,-59,0,0,0,-74,0,0,-74,0,0,0,0,0,0,0,-51,0,0,0,0,0,0,0,0,0,-68,0,-68,-57,0,0,-50,0,0,0,-64,-74,0,-64,-68,0,0,0,-57,0,0,0,-51,0,0,-61,-74,0,0,0,-68,-65,0,-64,-63,-63,-64,0,0,0,-59,0,-57,-68,0,-53,0,0,0
9,3,1,-72,0,-52,0,0,0,0,0,-52,-64,-52,-53,0,0,0,-51,0,-69,-74,-74,0,0,0,0,0,0,0,0,0,0,-74,0,0,0,-51,0,0,0,0,0,0,0,0,0,-64,0,-63,-53,0,-74,-50,-73,0,0,-69,0,0,-69,-64,0,-72,0,-53,0,0,0,-51,0,0,-69,0,0,0,0,-65,-73,0,-68,-69,-68,-48,0,0,0,-74,0,-53,-64,0,-53,0,0,0
9,3,2,-72,0,-61,0,-69,0,0,0,-52,-66,-58,-61,0,0,-69,-57,0,-64,-61,-60,0,0,0,-70,0,0,-69,0,0,0,-61,0,0,0,-57,0,0,0,0,0,0,0,0,0,-65,0,-66,-61,0,-61,-57,-60,0,0,-63,-67,0,-63,-66,0,0,0,-61,0,0,0,-55,0,0,-69,-70,0,0,0,-65,-72,0,-63,-63,-63,-47,0,0,0,-61,0,-60,-67,0,-57,0,0,0
9,3,3,-72,0,-45,0,-70,-66,0,0,-64,-64,-45,-45,0,0,-67,-64,0,-70,-49,-49,0,-65,0,-68,-64,0,-65,0,0,0,-49,0,0,0,-65,-66,-64,0,0,0,0,0,0,0,-64,-71,-64,-45,0,-49,-64,-49,0,0,-69,-69,-73,-71,-63,0,-74,0,-45,0,0,-65,-64,0,0,-72,-58,0,0,0,-64,-72,0,-72,-72,-71,-42,0,0,0,-47,0,-52,-63,0,-64,0,0,0
10,3,0,-72,0,-48,0,0,-69,0,0,-64,-69,-49,-49,0,0,0,-59,0,0,-56,-57,0,-68,0,-72,-69,0,-74,0,0,0,-57,0,0,0,-59,-68,-68,0,0,0,0,0,0,0,-69,-71,-70,-49,0,-57,-64,-57,0,0,0,-73,0,0,-69,0,-74,0,-49,0,0,-68,-59,0,0,-69,0,0,0,0,-69,0,0,0,0,0,-56,0,0,0,-57,0,-49,-69,0,-64,0,0,0
10,3,1,-72,0,-45,0,-73,-70,0,0,0,-65,-46,-46,0,0,-74,-67,0,-74,-59,-59,0,-71,0,-72,-71,0,-73,0,0,0,-60,0,0,0,-66,-70,-71,0,0,0,0,0,0,0,-68,0,-66,-46,0,-59,-65,-59,0,0,0,-71,0,-74,-66,0,0,0,-46,0,0,-71,-67,0,0,-71,-74,0,0,0,-67,0,0,0,0,0,-47,0,0,0,-59,0,-46,-66,0,-66,0,0,0
